[['48.2380817, -124.6661861'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.2470078, -124.6663328'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.2609399, -124.6575122'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.2669479, -124.6637641'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.2706639, -124.663285'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.2846932, -124.6541287'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.2933973, -124.6646445'], ['nature and woods', 5.7917023e-06], ['nature and woods', 4.9316996e-06], ['nature and woods', 6.1155771e-07]]
[['48.300883, -124.6635496'], ['non-scenic', 0.0002162649], ['water', 0.00013926974], ['fields', 3.2683729e-05]]
[['48.3090594, -124.6617369'], ['non-scenic', 0.00011733274], ['non-scenic', 9.7145828e-05], ['nature and woods', 7.1798262e-05]]
[['48.3191309, -124.6552782'], ['nature and woods', 0.00092990388], ['nature and woods', 2.9623396e-05], ['nature and woods', 1.0715374e-05]]
[['48.3281475, -124.6598027'], ['water', 0.00057537173], ['water', 0.00024455573], ['water', 0.00015740588]]
[['48.3378642, -124.6631953'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.34619559999999, -124.6674242'], ['non-scenic', 3.5567409e-05], ['non-scenic', 1.5315443e-05], ['fields', 1.0760273e-05]]
[['48.3548033, -124.6655186'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.3660815, -124.666291'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.3734373, -124.6652185'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
