[['48.0942656, -124.4497162'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1025502, -124.4473657'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1116835, -124.4494991'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1185434, -124.4520089'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1289786, -124.4510896'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1365298, -124.4414252'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.148746, -124.4469492'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1567127, -124.4473101'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.16469559999999, -124.445801'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1754016, -124.446189'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1820386, -124.4461797'], ['nature and woods', 2.5035573e-05], ['non-scenic', 8.3394589e-06], ['nature and woods', 3.2488074e-06]]
[['48.1930799, -124.4492388'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.201923, -124.4486607'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.2109735, -124.4499531'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.2200023, -124.4494479'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.2291423, -124.4457506'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.2381049, -124.4493671'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.244484, -124.4478093'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.257109, -124.449628'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.26466019999999, -124.4475663'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.2736581, -124.4452074'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.28223879999999, -124.4480819'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.2930614, -124.4478664'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.3013303, -124.4476795'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.3105982, -124.4474126'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.31658729999999, -124.4491329'], ['fields', 2.7681044e-05], ['nature and woods', 1.4056229e-05], ['nature and woods', 4.7912085e-06]]
[['48.318479, -124.4562604'], ['nature and woods', 9.9153212e-06], ['nature and woods', 8.9826681e-06], ['nature and woods', 4.7856888e-06]]
[['48.3211935, -124.4616491'], ['non-scenic', 0.00074646308], ['non-scenic', 3.029413e-05], ['non-scenic', 2.1469693e-06]]
[['48.3255574, -124.4711348'], ['nature and woods', 1.244602e-05], ['nature and woods', 9.445127e-06], ['nature and woods', 2.9566345e-06]]
[['48.3283194, -124.4763214'], ['non-scenic', 0.00025680067], ['non-scenic', 1.1683596e-05], ['nature and woods', 6.2999147e-06]]
