[['46.942147, -122.347802'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9507482, -122.3495897'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.958562, -122.352425'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9693562, -122.3528627'], ['nature and woods', 0.0001262622], ['nature and woods', 1.5263397e-05], ['nature and woods', 5.4100938e-06]]
[['46.9780801, -122.3507999'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9871045, -122.3511935'], ['nature and woods', 2.0787273e-05], ['nature and woods', 8.5602305e-06], ['nature and woods', 6.0929706e-06]]
[['46.9952326, -122.3507555'], ['fields', 0.0010407735], ['nature and woods', 0.0001698104], ['nature and woods', 6.8120307e-06]]
[['47.00518599999999, -122.342708'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.016226, -122.352582'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0228091, -122.350888'], ['non-scenic', 0.0013363193], ['fields', 7.8734774e-05], ['non-scenic', 2.4163715e-05]]
[['47.0320921, -122.3515473'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0418582, -122.3508573'], ['non-scenic', 2.2323035e-05], ['non-scenic', 2.0649228e-05], ['non-scenic', 1.2806609e-05]]
[['47.04931, -122.352233'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0589052, -122.3509133'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0675514, -122.3508314'], ['fields', 0.00042197818], ['nature and woods', 4.4003256e-05], ['nature and woods', 1.1367057e-05]]
