[['48.5167905, -123.6570832'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5193251, -123.6588304'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5462552, -123.6485739'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.54653700000001, -123.6490934'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5504457, -123.6561779'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5619941, -123.6552651'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5717375, -123.6570269'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5780649, -123.6526293'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5832929, -123.6426642'], ['nature and woods', 7.2537507e-05], ['fields', 1.3922397e-05], ['nature and woods', 3.3887638e-06]]
[['48.6067993, -123.6427368'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.606943, -123.6427817'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6167236, -123.6461457'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.625004, -123.6478567'], ['nature and woods', 5.924168e-05], ['nature and woods', 3.1990278e-06], ['non-scenic', 1.834288e-06]]
[['48.6343971, -123.6525432'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6432672, -123.6530746'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6511722, -123.6535175'], ['nature and woods', 1.1044849e-05], ['nature and woods', 1.2603673e-06], ['nature and woods', 4.7036011e-07]]
[['48.6591588, -123.6522847'], ['nature and woods', 0.00023020903], ['non-scenic', 1.2440183e-05], ['nature and woods', 9.5512642e-06]]
[['48.6675374, -123.652793'], ['non-scenic', 9.4281953e-05], ['nature and woods', 3.0716762e-06], ['nature and woods', 1.3441889e-06]]
[['48.6809105, -123.654401'], ['nature and woods', 4.2565939e-06], ['nature and woods', 2.2851418e-06], ['nature and woods', 2.0719453e-06]]
[['48.6865323, -123.6481505'], ['nature and woods', 1.2342126e-05], ['nature and woods', 2.1572168e-06], ['nature and woods', 1.2411184e-06]]
[['48.6971625, -123.6535644'], ['nature and woods', 2.8454517e-05], ['nature and woods', 1.4439021e-05], ['nature and woods', 1.2942639e-05]]
[['48.7059639, -123.6535766'], ['nature and woods', 1.160556e-05], ['nature and woods', 1.291296e-06], ['nature and woods', 4.9985363e-07]]
[['48.7163565, -123.651035'], ['fields', 8.8799483e-05], ['nature and woods', 1.8387795e-05], ['nature and woods', 1.0647779e-05]]
[['48.7243655, -123.6531866'], ['nature and woods', 5.4375589e-05], ['nature and woods', 1.8271365e-05], ['nature and woods', 5.5813507e-06]]
[['48.733183, -123.6498859'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7405991, -123.6551994'], ['non-scenic', 0.00020831185], ['non-scenic', 4.5672528e-05], ['non-scenic', 3.6765385e-05]]
[['48.7515219, -123.6559765'], ['non-scenic', 1.9637528e-05], ['nature and woods', 1.1433788e-05], ['non-scenic', 8.0466025e-06]]
[['48.7600051, -123.6527867'], ['non-scenic', 0.00029122244], ['nature and woods', 3.8262438e-05], ['nature and woods', 1.1008506e-05]]
[['48.7664085, -123.6462998'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7792688, -123.6551811'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7883804, -123.652989'], ['non-scenic', 0.00013439717], ['non-scenic', 8.5120228e-05], ['non-scenic', 1.3527181e-05]]
[['48.7960143, -123.6529445'], ['nature and woods', 3.0193047e-05], ['nature and woods', 1.87685e-05], ['nature and woods', 1.5073913e-05]]
[['48.8005617, -123.6534303'], ['non-scenic', 0.00024685508], ['non-scenic', 0.00020213691], ['nature and woods', 2.5143461e-05]]
[['48.8143378, -123.6529975'], ['fields', 4.2228836e-05], ['nature and woods', 9.1602715e-06], ['nature and woods', 5.9207841e-06]]
[['48.8226443, -123.6519804'], ['nature and woods', 7.2300486e-06], ['nature and woods', 2.6951629e-06], ['nature and woods', 2.01492e-06]]
[['48.8311454, -123.649016'], ['fields', 4.20713e-05], ['nature and woods', 3.896898e-07], ['nature and woods', 3.716944e-07]]
[['48.8385068, -123.6532239'], ['nature and woods', 0.00033265771], ['nature and woods', 8.5462661e-06], ['nature and woods', 1.3938119e-06]]
[['48.8517555, -123.6522609'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
