[['48.1482986, -123.5478929'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.14979659999999, -123.5533832'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.3136433, -123.5559238'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.316906, -123.550896'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.3197607, -123.5438095'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.3260568, -123.5461906'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.3397044, -123.543091'], ['non-scenic', 3.8773262e-05], ['non-scenic', 3.3611177e-05], ['non-scenic', 1.1670896e-05]]
[['48.3459933, -123.5426908'], ['nature and woods', 0.00010801897], ['nature and woods', 1.0115284e-05], ['nature and woods', 4.6480668e-06]]
[['48.3549109, -123.5448369'], ['non-scenic', 0.00021904356], ['water', 2.2292088e-05], ['non-scenic', 1.9477371e-05]]
[['48.3646172, -123.5441936'], ['non-scenic', 0.00011976916], ['nature and woods', 6.5960528e-05], ['nature and woods', 1.0520803e-05]]
[['48.37388019999999, -123.5448162'], ['non-scenic', 2.962602e-05], ['nature and woods', 1.3599205e-05], ['non-scenic', 1.0002458e-05]]
[['48.3805406, -123.5446525'], ['nature and woods', 0.0016774937], ['non-scenic', 4.7164973e-05], ['nature and woods', 2.7504725e-06]]
[['48.39163110000001, -123.5429113'], ['nature and woods', 1.6407059e-05], ['nature and woods', 1.5668484e-05], ['nature and woods', 1.7374363e-06]]
[['48.399559, -123.5428941'], ['nature and woods', 1.2016147e-05], ['nature and woods', 5.7667912e-06], ['nature and woods', 8.0921171e-07]]
[['48.408312, -123.54337'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.4198619, -123.5416398'], ['nature and woods', 0.00011081428], ['non-scenic', 8.8357468e-05], ['nature and woods', 1.0158676e-05]]
[['48.4270411, -123.5436833'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.4393995, -123.5480742'], ['non-scenic', 6.3594576e-05], ['nature and woods', 5.2533396e-06], ['nature and woods', 7.602132e-07]]
[['48.4441449, -123.5437782'], ['nature and woods', 1.5521131e-05], ['non-scenic', 1.3194202e-05], ['nature and woods', 6.5199688e-06]]
[['48.4542392, -123.5432152'], ['non-scenic', 0.00018449745], ['nature and woods', 0.00012703745], ['fields', 8.7483604e-05]]
[['48.4609441, -123.5450691'], ['non-scenic', 1.390318e-05], ['nature and woods', 3.7370098e-06], ['nature and woods', 3.6897177e-06]]
[['48.4732134, -123.5375621'], ['nature and woods', 2.4461599e-05], ['nature and woods', 7.0685492e-06], ['nature and woods', 4.2832421e-06]]
[['48.4808629, -123.5454741'], ['nature and woods', 9.5182186e-06], ['nature and woods', 6.8964432e-06], ['nature and woods', 2.1176104e-06]]
[['48.4901248, -123.543682'], ['non-scenic', 0.00027594002], ['nature and woods', 0.00026634106], ['non-scenic', 3.9620641e-06]]
[['48.49807699999999, -123.536491'], ['nature and woods', 2.4679624e-05], ['nature and woods', 2.9917705e-06], ['nature and woods', 1.2663855e-06]]
[['48.50600379999999, -123.5356573'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5201216, -123.5479071'], ['nature and woods', 4.4435697e-06], ['nature and woods', 6.462883e-07], ['nature and woods', 5.8711566e-07]]
[['48.5246754, -123.5494107'], ['nature and woods', 9.8318551e-06], ['nature and woods', 5.9815088e-06], ['nature and woods', 4.4388817e-06]]
[['48.5284856, -123.5527501'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.53817369999999, -123.5611837'], ['nature and woods', 3.3445474e-05], ['nature and woods', 1.8949988e-06], ['nature and woods', 6.8460679e-07]]
[['48.553095, -123.5616'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5675241, -123.5443238'], ['nature and woods', 1.1382064e-05], ['non-scenic', 8.009225e-06], ['non-scenic', 2.6756861e-06]]
[['48.5705473, -123.5457637'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5860621, -123.5380133'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.587863, -123.539678'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5964557, -123.5363728'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6077587, -123.5399456'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.61634129999999, -123.5424223'], ['nature and woods', 1.4628515e-05], ['non-scenic', 1.6959458e-06], ['non-scenic', 1.1013391e-06]]
[['48.6244847, -123.5469277'], ['non-scenic', 1.2440819e-05], ['non-scenic', 7.2868552e-06], ['nature and woods', 2.8330167e-06]]
[['48.6345642, -123.5431373'], ['non-scenic', 0.00087906868], ['non-scenic', 0.00059704587], ['non-scenic', 9.0163107e-05]]
[['48.64214579999999, -123.5437645'], ['nature and woods', 0.0025038291], ['non-scenic', 6.9736234e-05], ['non-scenic', 3.4314526e-05]]
[['48.655986, -123.5413155'], ['nature and woods', 5.8313646e-05], ['nature and woods', 6.394333e-06], ['nature and woods', 2.643334e-06]]
[['48.6610419, -123.5413394'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6703185, -123.5435107'], ['nature and woods', 0.0004626115], ['nature and woods', 3.1224768e-05], ['nature and woods', 5.1471998e-06]]
[['48.6793698, -123.5433474'], ['fields', 0.00027926973], ['nature and woods', 3.2312186e-05], ['nature and woods', 1.7564756e-05]]
[['48.6883408, -123.541431'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.69718289999999, -123.5414075'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7013909, -123.5497551'], ['nature and woods', 3.5660745e-05], ['non-scenic', 1.8850638e-05], ['nature and woods', 3.4465481e-06]]
[['48.7125936, -123.557395'], ['non-scenic', 0.0018527114], ['non-scenic', 4.1663181e-05], ['non-scenic', 3.5158571e-06]]
[['48.717202, -123.5614634'], ['fields', 5.8844409e-05], ['nature and woods', 2.4734429e-06], ['nature and woods', 1.5338702e-06]]
[['48.7461688, -123.5398278'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7466438, -123.5428691'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.75045979999999, -123.5475625'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.753355, -123.5327307'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.755555, -123.5292672'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7861029, -123.5212225'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7862507, -123.521255'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7932949, -123.5208535'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8117988, -123.5319149'], ['nature and woods', 7.1798327e-06], ['nature and woods', 7.4510973e-07], ['nature and woods', 5.6825439e-07]]
[['48.8126961, -123.5322368'], ['nature and woods', 1.3342632e-05], ['nature and woods', 5.2475821e-06], ['nature and woods', 3.929812e-06]]
[['48.82320989999999, -123.5312368'], ['nature and woods', 1.2582544e-05], ['nature and woods', 7.2501402e-06], ['nature and woods', 9.9668819e-07]]
