[['46.5319222, -124.0294794'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.537219, -124.030589'], ['nature and woods', 1.8806359e-05], ['nature and woods', 4.5641764e-06], ['nature and woods', 1.0443123e-06]]
[['46.549137, -124.0262241'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5501671, -124.0262253'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5502126, -124.0262967'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5815364, -124.0286252'], ['nature and woods', 0.00020283645], ['nature and woods', 0.00012254457], ['nature and woods', 8.8789398e-07]]
[['46.5840496, -124.0265411'], ['non-scenic', 0.00016087304], ['fields', 6.0850623e-05], ['nature and woods', 2.0733107e-06]]
[['46.5849215, -124.0267128'], ['nature and woods', 1.1185673e-05], ['nature and woods', 9.8105247e-06], ['nature and woods', 9.3885019e-06]]
[['46.5912263, -124.0319245'], ['nature and woods', 2.9548588e-05], ['nature and woods', 3.0513809e-06], ['nature and woods', 2.0230966e-06]]
[['46.594759, -124.034864'], ['nature and woods', 2.5524152e-05], ['nature and woods', 5.3022304e-06], ['nature and woods', 9.6385565e-07]]
[['46.6070854, -124.0431207'], ['nature and woods', 0.00015236955], ['nature and woods', 2.1894963e-05], ['non-scenic', 4.1237645e-06]]
[['46.6334961, -123.9572811'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7089482, -123.9952374'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7104108, -124.0034974'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7172731, -124.009867'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7267094, -124.0096913'], ['nature and woods', 9.6576652e-05], ['non-scenic', 5.1449846e-05], ['fields', 1.3373046e-05]]
[['46.7291088, -124.0067379'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7498974, -124.0153183'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7535141, -124.0096823'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7620869, -124.009388'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7718043, -124.0083017'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7801125, -124.0089035'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7824698, -124.0050488'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7863155, -124.0216544'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8167975, -124.0103694'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8168842, -124.0096834'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8193895, -124.0056838'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.839709, -123.9899882'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8448196, -123.9910604'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8543999, -123.9903164'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8608919, -123.9900918'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8743595, -123.9904126'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8844986, -124.0121665'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8865127, -124.0094386'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8973869, -124.0093008'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8995596, -124.0089855'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9071041, -123.9980093'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9218163, -123.9817917'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9847221, -123.9849956'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9848172, -123.9851519'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9926855, -123.9976273'], ['nature and woods', 1.2003728e-05], ['nature and woods', 1.0596332e-05], ['nature and woods', 1.3132068e-06]]
[['46.9935002, -123.9993019'], ['nature and woods', 3.8677185e-06], ['nature and woods', 6.6515469e-07], ['nature and woods', 2.5457942e-07]]
[['46.9968786, -124.003373'], ['fields', 5.47292e-05], ['nature and woods', 4.195566e-05], ['nature and woods', 1.7952729e-05]]
[['47.0075047, -124.0087652'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0140157, -124.0095155'], ['non-scenic', 9.5068455e-05], ['nature and woods', 1.6400612e-05], ['non-scenic', 3.0262045e-06]]
[['47.0200664, -124.0157434'], ['nature and woods', 3.5560317e-06], ['nature and woods', 3.2943517e-06], ['nature and woods', 2.0204845e-06]]
[['47.0352469, -124.0132851'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0394119, -124.0077787'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0492083, -124.0072459'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0602132, -124.0090182'], ['nature and woods', 2.8175442e-05], ['nature and woods', 6.2189733e-06], ['fields', 2.4467565e-06]]
[['47.0654799, -124.0145604'], ['nature and woods', 1.657595e-05], ['nature and woods', 8.0613645e-06], ['nature and woods', 7.0746376e-07]]
[['47.0762474, -123.9982718'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0933319, -124.0010128'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0975977, -124.0087254'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1044823, -124.0093441'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1150774, -124.0095261'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1217879, -124.0009446'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1329736, -124.0077334'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1403583, -124.0092234'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1492226, -124.0047566'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.157582, -124.005429'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1668722, -123.9981548'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1781296, -124.0125365'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1838652, -124.002603'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1948527, -124.0007264'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.2030753, -124.0087757'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.2107555, -124.0087828'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.223012, -124.0144479'], ['nature and woods', 8.4532212e-06], ['nature and woods', 3.722284e-06], ['nature and woods', 1.0802524e-06]]
[['47.2298332, -124.0087488'], ['nature and woods', 1.3030313e-05], ['non-scenic', 6.846587e-06], ['nature and woods', 4.4376716e-06]]
[['47.2342775, -124.0048657'], ['nature and woods', 4.115569e-06], ['nature and woods', 2.935622e-06], ['nature and woods', 1.8847149e-06]]
[['47.2344604, -124.0042962'], ['nature and woods', 4.9777805e-06], ['nature and woods', 1.8924094e-06], ['nature and woods', 1.684971e-06]]
