[['48.7831913, -118.8047647'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8029186, -118.7993687'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8035231, -118.8019284'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8158665, -118.8063221'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.825133, -118.8025777'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.830359, -118.7993191'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8407389, -118.8032007'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8497745, -118.7995472'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8577738, -118.7980549'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8630493, -118.7915527'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8775452, -118.7862066'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.88091480000001, -118.7853979'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8972524, -118.773103'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.9218363, -118.7775843'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.92413699999999, -118.779446'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.9396171, -118.8017161'], ['non-scenic', 0.00016430755], ['nature and woods', 2.7727165e-07], ['nature and woods', 4.9532229e-08]]
[['48.9397156, -118.8006918'], ['non-scenic', 4.4344481e-05], ['nature and woods', 5.2555725e-07], ['nature and woods', 3.9616125e-07]]
[['48.9423419, -118.8101577'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.2097114, -118.7952705'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.2109014, -118.7970383'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.2406231, -118.7870975'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.2406231, -118.7871076'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.2406231, -118.7871176'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.2609068, -118.7902281'], ['fields', 6.596536e-05], ['fields', 2.9823375e-05], ['fields', 4.2161973e-06]]
[['46.2642229, -118.7839423'], ['non-scenic', 2.2708935e-05], ['non-scenic', 2.2295608e-05], ['non-scenic', 2.0697651e-05]]
[['46.2777629, -118.7777487'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.2809448, -118.7759508'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.294684, -118.8067086'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.31445739999999, -118.7678397'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3342161, -118.7851758'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.339066, -118.7850957'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3480603, -118.784932'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3570262, -118.7844925'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3660189, -118.7841119'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3751738, -118.7873743'], ['nature and woods', 6.766482e-05], ['non-scenic', 7.7524755e-06], ['non-scenic', 5.1665038e-06]]
[['46.3820544, -118.7811279'], ['nature and woods', 6.4797088e-05], ['non-scenic', 1.3172557e-05], ['non-scenic', 1.0976773e-05]]
[['46.386239, -118.7781859'], ['nature and woods', 1.9859372e-05], ['non-scenic', 1.8141292e-05], ['non-scenic', 4.8657989e-06]]
[['46.4001624, -118.7674626'], ['non-scenic', 1.7690485e-05], ['non-scenic', 4.0985947e-06], ['non-scenic', 3.835441e-06]]
[['46.4025062, -118.7665007'], ['non-scenic', 1.6711403e-05], ['fields', 1.6204182e-05], ['non-scenic', 1.3580497e-05]]
[['46.4079163, -118.7611694'], ['fields', 2.4395818e-05], ['non-scenic', 5.484972e-06], ['non-scenic', 1.0430422e-06]]
[['46.4460825, -118.7633877'], ['nature and woods', 3.6384692e-05], ['non-scenic', 2.0059959e-05], ['non-scenic', 1.287584e-05]]
[['46.4517917, -118.7702369'], ['fields', 5.5611777e-05], ['non-scenic', 1.5739801e-05], ['non-scenic', 1.4692995e-05]]
[['46.4536707, -118.7732114'], ['fields', 3.7619546e-05], ['non-scenic', 3.7286351e-05], ['non-scenic', 1.4907087e-05]]
[['46.4595273, -118.78781'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.46062850000001, -118.784998'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.4846715, -118.7848389'], ['fields', 1.6737999e-05], ['fields', 9.6003741e-06], ['non-scenic', 3.9540314e-06]]
[['46.48485549999999, -118.7857247'], ['non-scenic', 7.9854972e-06], ['fields', 5.161829e-06], ['fields', 1.1409958e-06]]
[['46.4920756, -118.7836983'], ['non-scenic', 1.3002667e-05], ['fields', 4.2847837e-06], ['fields', 2.4337219e-06]]
[['46.50150989999999, -118.7871014'], ['nature and woods', 1.2632398e-05], ['non-scenic', 4.9102537e-06], ['non-scenic', 2.7373953e-06]]
[['46.5096335, -118.7862885'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5153203, -118.7788884'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5210614, -118.7732565'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5376038, -118.8110129'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5627113, -118.7964323'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5640572, -118.7962169'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5760243, -118.7872576'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5762569, -118.7855963'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5910332, -118.7748374'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.59989400000001, -118.7747342'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.60905289999999, -118.774544'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6200859, -118.7871023'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6200859, -118.7871289'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6347106, -118.7871057'], ['fields', 5.625944e-05], ['non-scenic', 3.6769056e-06], ['non-scenic', 1.8165547e-06]]
[['46.6439657, -118.7875193'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6568613, -118.7869607'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6568732, -118.7874371'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6721105, -118.7945137'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6777988, -118.7870744'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6924304, -118.7871472'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6990635, -118.7870683'], ['fields', 1.2268509e-05], ['non-scenic', 6.1255455e-06], ['non-scenic', 3.0522745e-06]]
[['46.7046697, -118.7820488'], ['water', 1.0407271e-05], ['non-scenic', 1.260512e-06], ['non-scenic', 9.2342805e-07]]
[['46.72133849999999, -118.7871601'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.72133909999999, -118.7870505'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7354498, -118.787105'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7440984, -118.7935874'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7531005, -118.7934771'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7620013, -118.7870977'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7682484, -118.78187'], ['water', 1.1902842e-05], ['non-scenic', 6.1492365e-06], ['non-scenic', 1.6991859e-06]]
[['46.7788518, -118.7871478'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7933844, -118.7871154'], ['fields', 2.6637139e-05], ['non-scenic', 1.3653675e-05], ['non-scenic', 2.3779012e-06]]
[['46.7933844, -118.7871004'], ['fields', 2.6637139e-05], ['non-scenic', 1.3653675e-05], ['non-scenic', 2.3779012e-06]]
