[['46.9864626, -118.2793647'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.011683, -118.2407838'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0127713, -118.2434227'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.015829, -118.2491878'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0232421, -118.252749'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0331246, -118.2507901'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.041121, -118.2528761'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0504459, -118.2506913'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0591224, -118.2525217'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0667999, -118.2637741'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0776707, -118.2614188'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0890808, -118.2590614'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0953229, -118.2578829'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1022601, -118.2547697'], ['fields', 7.4533935e-05], ['fields', 2.0622514e-05], ['non-scenic', 7.564845e-06]]
[['47.1130605, -118.2581065'], ['fields', 4.0632567e-05], ['non-scenic', 7.6016499e-06], ['non-scenic', 6.5428076e-06]]
[['47.125775, -118.2525498'], ['non-scenic', 0.00013263541], ['non-scenic', 1.3295152e-05], ['fields', 1.1630746e-05]]
[['47.1310677, -118.2582781'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1400576, -118.2583708'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.14779410000001, -118.2525444'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1580798, -118.2583455'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1670615, -118.2583564'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1770496, -118.2532203'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1850883, -118.2570112'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1946444, -118.2533941'], ['non-scenic', 4.3168475e-05], ['non-scenic', 1.2055857e-05], ['non-scenic', 1.1847903e-05]]
[['47.2031336, -118.2577665'], ['non-scenic', 1.4623416e-05], ['fields', 1.3285502e-05], ['non-scenic', 5.1915595e-06]]
[['47.2133708, -118.2526015'], ['non-scenic', 2.4032663e-05], ['non-scenic', 1.3954486e-05], ['non-scenic', 7.2409071e-06]]
[['47.2210848, -118.2573905'], ['non-scenic', 0.00015763287], ['non-scenic', 3.7593334e-05], ['non-scenic', 4.6161626e-06]]
[['47.230109, -118.2573457'], ['non-scenic', 0.0016982345], ['non-scenic', 4.2206204e-05], ['fields', 2.595198e-05]]
[['47.2391066, -118.2572268'], ['non-scenic', 1.8677059e-05], ['fields', 1.3765662e-05], ['non-scenic', 4.8220945e-06]]
[['47.2480923, -118.2571386'], ['non-scenic', 9.4363204e-05], ['fields', 2.1901231e-05], ['non-scenic', 1.3292924e-05]]
[['47.2573857, -118.2533952'], ['nature and woods', 9.3876952e-05], ['non-scenic', 5.6058166e-06], ['non-scenic', 3.6756428e-06]]
[['47.2660746, -118.251865'], ['non-scenic', 0.00023734718], ['non-scenic', 1.9662519e-05], ['fields', 1.9166189e-05]]
[['47.2749719, -118.2516011'], ['fields', 0.00067560415], ['non-scenic', 4.8406469e-06], ['non-scenic', 7.666377e-07]]
[['47.2839406, -118.2482184'], ['non-scenic', 3.0027777e-05], ['non-scenic', 6.7841679e-06], ['non-scenic', 4.0874434e-06]]
[['47.29336070000001, -118.2501496'], ['non-scenic', 8.6327862e-05], ['non-scenic', 3.8487287e-05], ['non-scenic', 1.095608e-05]]
[['47.3020788, -118.2515237'], ['non-scenic', 9.7685079e-05], ['non-scenic', 3.9250146e-05], ['non-scenic', 3.0058734e-06]]
[['47.31109, -118.2516625'], ['non-scenic', 4.0632902e-05], ['non-scenic', 3.7889182e-05], ['non-scenic', 8.8476609e-06]]
[['47.3200801, -118.2518568'], ['non-scenic', 7.9592377e-05], ['non-scenic', 2.1806072e-05], ['non-scenic', 2.6386847e-06]]
[['47.3290848, -118.2519149'], ['fields', 0.00011617559], ['non-scenic', 1.7166785e-05], ['non-scenic', 3.4685434e-06]]
[['47.3380517, -118.2515585'], ['non-scenic', 0.00074787647], ['non-scenic', 1.5847156e-05], ['non-scenic', 4.7093868e-06]]
[['47.3475769, -118.2525373'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3560637, -118.2510695'], ['non-scenic', 4.6924568e-05], ['non-scenic', 8.4142439e-06], ['non-scenic', 2.3509012e-06]]
[['47.365068, -118.250876'], ['fields', 4.8143724e-05], ['non-scenic', 2.6687014e-05], ['non-scenic', 2.1977746e-06]]
[['47.3740736, -118.2507813'], ['non-scenic', 3.1360592e-05], ['fields', 3.0642419e-05], ['non-scenic', 2.5562988e-05]]
[['47.3830581, -118.2506137'], ['fields', 0.00010486489], ['non-scenic', 1.294071e-05], ['fields', 2.8037289e-06]]
