[['48.2924594, -117.8360467'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.3018075, -117.830721'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.310228, -117.824456'], ['non-scenic', 0.00012422982], ['nature and woods', 2.3670176e-05], ['non-scenic', 2.2652786e-05]]
[['48.3179241, -117.8247707'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.3281455, -117.8269583'], ['non-scenic', 0.00015725983], ['nature and woods', 3.4046841e-06], ['non-scenic', 2.4450694e-06]]
[['48.3366125, -117.8294693'], ['non-scenic', 4.1406271e-05], ['non-scenic', 7.3703e-06], ['nature and woods', 1.6139867e-06]]
[['48.3456835, -117.832862'], ['non-scenic', 4.0072238e-05], ['nature and woods', 6.1085616e-06], ['non-scenic', 2.6644402e-06]]
[['48.3546442, -117.8341958'], ['non-scenic', 5.2241008e-05], ['non-scenic', 1.2656032e-05], ['non-scenic', 6.6604275e-06]]
[['48.3676875, -117.825324'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.3717063, -117.8248431'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.3791289, -117.8159909'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.3941735, -117.8232555'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.4011016, -117.830429'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.4110469, -117.825872'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.4180764, -117.8279613'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.4273147, -117.8317725'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.4355378, -117.8264909'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.4450848, -117.8268253'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.4536905, -117.8257237'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.460381, -117.830215'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.4729248, -117.8280102'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.48275719999999, -117.8290861'], ['non-scenic', 0.00015464779], ['non-scenic', 1.8762752e-05], ['non-scenic', 9.0645926e-06]]
[['48.492643, -117.8271694'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.497887, -117.8280071'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5026032, -117.8191394'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5188509, -117.8245621'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5262563, -117.8278155'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5361747, -117.8254311'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
