[['46.8965403, -119.8684127'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9042909, -119.873014'], ['non-scenic', 2.7771883e-05], ['non-scenic', 1.3754939e-05], ['non-scenic', 9.9329827e-07]]
[['46.9141068, -119.8682932'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9284779, -119.8699273'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9284779, -119.8699577'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9428583, -119.8699462'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9525683, -119.8781985'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.95835880000001, -119.8710278'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9619729, -119.8776093'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9815718, -119.8774844'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9863918, -119.8699532'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9950419, -119.8735594'], ['nature and woods', 2.5820807e-05], ['non-scenic', 3.2518969e-06], ['non-scenic', 1.9693321e-06]]
[['47.0068337, -119.8685072'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0145687, -119.8696819'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.02234800000001, -119.8695368'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0321201, -119.8765414'], ['non-scenic', 1.2429959e-05], ['non-scenic', 7.0205087e-06], ['non-scenic', 3.3541105e-06]]
[['47.0411092, -119.8764513'], ['non-scenic', 2.2055534e-05], ['non-scenic', 4.4183375e-06], ['non-scenic', 2.5924264e-06]]
[['47.0501241, -119.8763466'], ['non-scenic', 3.6584541e-05], ['non-scenic', 5.3363178e-06], ['non-scenic', 2.1300798e-06]]
[['47.0588293, -119.8699494'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0704052, -119.8750628'], ['non-scenic', 0.001553621], ['non-scenic', 3.7063295e-05], ['non-scenic', 4.1496373e-06]]
[['47.0771198, -119.8700288'], ['water', 8.0275182e-05], ['non-scenic', 2.5163579e-06], ['non-scenic', 1.9381107e-06]]
[['47.08696519999999, -119.8755567'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.09378840000001, -119.8680976'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.10418660000001, -119.8697234'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1125789, -119.8729925'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1220424, -119.8743331'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1321852, -119.8699409'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.13999339999999, -119.8754081'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1466472, -119.8698202'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.159454, -119.8695648'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1642173, -119.8678063'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.175855, -119.8699473'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.18513830000001, -119.8751118'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1940821, -119.875143'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
