[['47.4372212, -123.3240226'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.447183, -123.3244232'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4535826, -123.3298456'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4588707, -123.326965'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4615169, -123.3337668'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4950796, -123.3175328'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5020221, -123.3218275'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5071895, -123.3283426'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5131302, -123.3318205'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5141014, -123.3345769'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5141376, -123.3347095'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.51418349999999, -123.3349169'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5143072, -123.3357913'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5751353, -123.2612067'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.9508455, -123.2657218'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.9513243, -123.2659102'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.00017620000001, -123.3195074'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0040544, -123.3187319'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0161288, -123.3238192'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.01719139999999, -123.32691'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0318686, -123.3240638'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.040657, -123.3247108'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0490973, -123.322912'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0570932, -123.3240398'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0649594, -123.3204449'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0765513, -123.3266225'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0849923, -123.3247898'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.09390750000001, -123.3246114'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1023658, -123.3243007'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1126719, -123.3224959'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.11720589999999, -123.3471055'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.153039, -123.3866974'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1619557, -123.387995'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.17087240000001, -123.3892931'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.179789, -123.3905916'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.4064558, -123.3220034'], ['non-scenic', 0.00014562381], ['water', 9.9010591e-05], ['nature and woods', 4.8081554e-05]]
[['48.4090758, -123.3243067'], ['non-scenic', 0.0002628738], ['non-scenic', 9.8421318e-05], ['non-scenic', 8.1337959e-05]]
[['48.4179422, -123.3247698'], ['non-scenic', 0.0001315626], ['nature and woods', 3.6772759e-05], ['nature and woods', 1.1389914e-05]]
[['48.4270799, -123.3237841'], ['non-scenic', 0.00036524996], ['non-scenic', 0.00033189711], ['non-scenic', 9.2519193e-05]]
[['48.4358763, -123.324055'], ['sightseeing', 0.0030387773], ['non-scenic', 0.00018791185], ['non-scenic', 8.4732637e-05]]
[['48.4453685, -123.3240239'], ['non-scenic', 0.0011717757], ['nature and woods', 0.00039245022], ['non-scenic', 1.9836774e-05]]
[['48.4540048, -123.3238895'], ['nature and woods', 0.00090512703], ['non-scenic', 0.00049151847], ['non-scenic', 7.7103934e-05]]
[['48.4630777, -123.3247806'], ['non-scenic', 0.0013548988], ['non-scenic', 0.00028175875], ['non-scenic', 9.7982127e-05]]
[['48.47208209999999, -123.3244769'], ['non-scenic', 4.7926987e-05], ['nature and woods', 1.0605811e-05], ['non-scenic', 9.6238728e-06]]
[['48.48117999999999, -123.3239847'], ['non-scenic', 0.00061687006], ['non-scenic', 7.4827054e-05], ['nature and woods', 9.5192772e-06]]
[['48.4899603, -123.3237152'], ['non-scenic', 0.0011691632], ['non-scenic', 0.00034768647], ['non-scenic', 0.00025009108]]
[['48.494538, -123.328818'], ['non-scenic', 0.00018852678], ['non-scenic', 0.00013976729], ['non-scenic', 3.0865445e-05]]
[['48.4976266, -123.3361363'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5024165, -123.3439645'], ['nature and woods', 5.30545e-05], ['nature and woods', 5.680532e-06], ['non-scenic', 4.5881661e-06]]
[['48.50913, -123.355462'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5390713, -123.3650697'], ['non-scenic', 0.00030316267], ['non-scenic', 0.00013374907], ['nature and woods', 9.4924573e-05]]
[['48.5429952, -123.3645768'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.55437449999999, -123.3654715'], ['nature and woods', 0.0001929545], ['non-scenic', 8.6118009e-05], ['non-scenic', 4.5431516e-05]]
[['48.55671700000001, -123.36548'], ['non-scenic', 2.9644139e-05], ['nature and woods', 1.0594397e-05], ['nature and woods', 8.4548037e-06]]
[['48.59105230000001, -123.3491225'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5969467, -123.3386563'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6162414, -123.3104208'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6204633, -123.317349'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.62483899999999, -123.3205891'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6249843, -123.31994'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6250659, -123.319425'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6991621, -123.3699301'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7044432, -123.3651013'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7110381, -123.3590695'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.71555739999999, -123.3554066'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.72299659999999, -123.3502444'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7267776, -123.34762'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7329799, -123.3476812'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7419795, -123.3477701'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7509791, -123.3478591'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7657265, -123.3388537'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7709832, -123.3351852'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.77698909999999, -123.3181091'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7874681, -123.3250575'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7981924, -123.3233019'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.80543, -123.3237542'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8144764, -123.3215115'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.820941, -123.321166'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8327646, -123.3181501'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8405528, -123.3243094'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8477172, -123.3231678'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
