[['46.268071, -118.0379383'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.2782648, -118.0393812'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.2852188, -118.0333368'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.2902725, -118.0298215'], ['non-scenic', 5.1573403e-05], ['non-scenic', 4.6556608e-05], ['non-scenic', 2.7759803e-05]]
[['46.3046412, -118.0363257'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3109912, -118.03041'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.32117, -118.0337611'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3298701, -118.0305064'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3367045, -118.0305327'], ['non-scenic', 0.00034839616], ['fields', 0.00031911884], ['fields', 2.2371831e-05]]
[['46.3390522, -118.0265302'], ['non-scenic', 2.9801302e-05], ['nature and woods', 1.9736595e-05], ['fields', 1.1171496e-05]]
[['46.3590175, -118.0341554'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.368099, -118.0374819'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3747232, -118.0315838'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.38634880000001, -118.0384438'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3931915, -118.03368'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.4004889, -118.0274296'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.4072232, -118.0237771'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.42214509999999, -118.0339264'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.4283358, -118.0366143'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.4386337, -118.0350259'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.4462278, -118.0319486'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.4554578, -118.0365804'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.4713095, -118.0278226'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.4734312, -118.0334593'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.4774464, -118.0425376'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5029662, -118.0308724'], ['non-scenic', 2.0982554e-05], ['fields', 1.4566993e-05], ['non-scenic', 7.7740606e-06]]
[['46.5032106, -118.0324542'], ['non-scenic', 8.1908758e-05], ['nature and woods', 2.9463175e-05], ['non-scenic', 1.0205998e-05]]
[['46.5037262, -118.0354994'], ['non-scenic', 1.9719493e-05], ['fields', 7.9752981e-06], ['non-scenic', 7.9714546e-06]]
[['46.5052466, -118.0417836'], ['nature and woods', 2.9615021e-05], ['non-scenic', 1.1089835e-05], ['nature and woods', 7.0627384e-06]]
[['46.53821139999999, -118.0430926'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5414099, -118.0336978'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.54330299999999, -118.0297307'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5567376, -118.0375463'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5632121, -118.033652'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5736708, -118.039409'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5807486, -118.0326453'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5881407, -118.0321576'], ['nature and woods', 0.00027197791], ['sightseeing', 3.9157349e-05], ['sightseeing', 1.7798071e-05]]
[['46.5970243, -118.0392644'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.607937, -118.036598'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6181731, -118.0332511'], ['nature and woods', 0.0003916923], ['mountain', 4.4552751e-05], ['fields', 2.6431891e-05]]
[['46.6181934, -118.0329736'], ['mountain', 0.00022412739], ['fields', 0.00021991998], ['nature and woods', 0.00016478849]]
[['46.6409788, -118.0448906'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.64672880000001, -118.0342384'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6537053, -118.0278938'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6605218, -118.0251686'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6730539, -118.0315336'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6812175, -118.0326755'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.688735, -118.03885'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6981498, -118.0271546'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7036472, -118.0269432'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7171414, -118.0225212'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7294671, -118.0390579'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7349068, -118.03273'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7435453, -118.0289282'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.75268639999999, -118.027898'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7643213, -118.0309708'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7699141, -118.0351418'], ['fields', 0.00012469404], ['non-scenic', 3.0675074e-05], ['non-scenic', 2.1874705e-06]]
[['46.7742258, -118.0393486'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.80077199999999, -118.0077168'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8095149, -118.0104751'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8272425, -118.0411741'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.829238, -118.0341236'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8309383, -118.0316649'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.852089, -118.030914'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8529244, -118.0317906'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8612151, -118.0336789'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8694447, -118.0307401'], ['fields', 2.2874621e-05], ['non-scenic', 9.3145836e-06], ['non-scenic', 9.1447482e-06]]
[['46.8781354, -118.0274227'], ['non-scenic', 0.00045791495], ['fields', 6.9677117e-05], ['non-scenic', 2.6422676e-06]]
[['46.890809, -118.027329'], ['nature and woods', 0.00052343251], ['non-scenic', 2.8686467e-05], ['nature and woods', 4.9771884e-06]]
[['46.8969681, -118.0333221'], ['nature and woods', 0.00025583649], ['non-scenic', 0.00019712938], ['mountain', 4.3589607e-05]]
[['46.9096355, -118.0251205'], ['non-scenic', 0.00030863201], ['nature and woods', 5.3549356e-05], ['nature and woods', 2.3469407e-05]]
[['46.91330019999999, -118.0336345'], ['nature and woods', 0.00024044524], ['mountain', 4.7019541e-05], ['non-scenic', 3.4181805e-05]]
[['46.9299222, -118.0408105'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9335017, -118.0342307'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9387967, -118.0287141'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
