[['47.3921523, -120.8440524'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4006164, -120.8420975'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.40321549999999, -120.8388857'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.40330669999999, -120.838364'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.527871, -120.820754'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.528276, -120.820641'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5358488, -120.8149568'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5359047, -120.8148856'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5797624, -120.8013237'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5888219, -120.8110187'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5898798, -120.8119573'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6068851, -120.8471996'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.60840719999999, -120.8427897'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6112191, -120.8460222'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.75992170000001, -120.8176774'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.7727482, -120.8286677'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.7750132, -120.8329707'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.7799363, -120.8421305'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.7851042, -120.8456313'], ['nature and woods', 3.8542817e-06], ['nature and woods', 3.3237654e-06], ['nature and woods', 6.7414254e-07]]
[['47.7869251, -120.8503766'], ['nature and woods', 1.0076479e-05], ['nature and woods', 6.9746543e-06], ['nature and woods', 2.3950342e-06]]
[['47.7874039, -120.8521869'], ['nature and woods', 5.6040853e-06], ['nature and woods', 5.4993407e-06], ['nature and woods', 3.125248e-06]]
[['47.826994, -120.849881'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8368924, -120.841487'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8408757, -120.8406704'], ['nature and woods', 6.930652e-06], ['nature and woods', 2.3790942e-06], ['nature and woods', 4.9649418e-07]]
[['47.8539764, -120.838125'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.858354, -120.8449808'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8661357, -120.8487495'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8778656, -120.8542949'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8959787, -120.8222186'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.9254843, -120.8890727'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.9256323, -120.8891668'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.9748289, -120.8002881'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.9765774, -120.8021036'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.9800737, -120.8058279'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.987369, -120.809838'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.9932243, -120.8127438'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.00124839999999, -120.817221'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0103149, -120.8197314'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0178534, -120.8261442'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0254008, -120.8280068'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0328673, -120.8298255'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0397792, -120.8321011'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.050315, -120.8350863'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0595577, -120.8392052'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.06701049999999, -120.8434758'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0748662, -120.8405091'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.080248, -120.845449'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.08269139999999, -120.8351131'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.2002929, -120.7898181'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.3797745, -120.8396125'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.3828859, -120.8402325'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.3903244, -120.8451785'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.3971226, -120.8482618'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.3989056, -120.8518169'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.4000048, -120.8552141'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5753212, -120.7910104'], ['nature and woods', 2.9018467e-05], ['nature and woods', 5.9452041e-06], ['nature and woods', 1.0274988e-06]]
[['48.5760266, -120.7915574'], ['nature and woods', 1.5146239e-05], ['nature and woods', 3.7187112e-07], ['nature and woods', 2.2051275e-07]]
[['48.5875672, -120.8024445'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5882169, -120.8030409'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.605169, -120.8152624'], ['nature and woods', 5.5778826e-05], ['nature and woods', 7.5266021e-06], ['nature and woods', 2.3465195e-06]]
[['48.6107617, -120.8236494'], ['nature and woods', 1.6324399e-05], ['nature and woods', 7.1680961e-07], ['nature and woods', 1.8254697e-07]]
[['48.6121337, -120.8250738'], ['non-scenic', 0.00087775924], ['nature and woods', 2.6926109e-06], ['nature and woods', 9.384741e-07]]
[['48.619124, -120.8335478'], ['nature and woods', 4.9786277e-06], ['nature and woods', 5.0299741e-07], ['nature and woods', 3.9260115e-07]]
[['48.62563429999999, -120.8409301'], ['nature and woods', 5.625438e-06], ['nature and woods', 3.3909716e-06], ['nature and woods', 2.7336016e-06]]
[['48.6328264, -120.8466075'], ['non-scenic', 1.9239958e-05], ['non-scenic', 1.8420393e-05], ['non-scenic', 9.9528943e-06]]
[['48.64062819999999, -120.8519852'], ['nature and woods', 2.6892615e-06], ['nature and woods', 1.6204233e-06], ['nature and woods', 5.4044949e-07]]
[['48.6512726, -120.8582059'], ['non-scenic', 2.3570325e-05], ['non-scenic', 6.8858353e-06], ['non-scenic', 6.3472298e-06]]
[['48.6566917, -120.8594191'], ['nature and woods', 1.1266931e-05], ['non-scenic', 1.0427767e-05], ['nature and woods', 1.0448348e-06]]
[['48.6587998, -120.8610267'], ['nature and woods', 0.00011164555], ['non-scenic', 3.7501986e-06], ['nature and woods', 1.8101643e-06]]
[['48.6614624, -120.8650621'], ['non-scenic', 4.6029549e-05], ['non-scenic', 3.9154813e-05], ['non-scenic', 1.36249e-05]]
[['48.6796948, -120.8816102'], ['non-scenic', 7.9572555e-06], ['non-scenic', 5.0344379e-06], ['non-scenic', 1.3599841e-06]]
[['48.6847674, -120.884827'], ['non-scenic', 1.034938e-05], ['non-scenic', 1.0119847e-05], ['non-scenic', 1.2815311e-06]]
[['48.68791119999999, -120.8869211'], ['non-scenic', 1.4339292e-05], ['non-scenic', 3.5188684e-06], ['nature and woods', 2.1631713e-06]]
[['48.7158741, -120.7858983'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7249048, -120.7846862'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.756378, -120.7954488'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7586156, -120.7947016'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.2154969, -120.8302074'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.224083, -120.8228787'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.2315261, -120.829375'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.23501659999999, -120.8271314'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.2536478, -120.8298002'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.2575488, -120.8292828'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.2669518, -120.829266'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.2793455, -120.8319002'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.2816181, -120.8279266'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.2986429, -120.8337887'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3000105, -120.8296811'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.317118, -120.8421913'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3185086, -120.842042'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3381354, -120.8297588'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.338258, -120.8290774'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3444981, -120.8290769'], ['nature and woods', 1.3036974e-05], ['non-scenic', 9.2266373e-06], ['non-scenic', 1.2622152e-06]]
[['46.361361, -120.8173908'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3705978, -120.8305617'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3710369, -120.8280052'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.386323, -120.8277644'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3930192, -120.8331565'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.4022512, -120.8331231'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.4124797, -120.8296842'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.4200843, -120.828159'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
