[['46.5401089, -119.763457'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5426479, -119.7575191'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5441537, -119.7527947'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5730808, -119.7627505'], ['non-scenic', 1.8871815e-05], ['non-scenic', 1.4603825e-05], ['non-scenic', 5.2693076e-06]]
[['46.5733906, -119.7603756'], ['non-scenic', 2.3246788e-05], ['non-scenic', 2.2842598e-05], ['non-scenic', 5.9287959e-06]]
[['46.577293, -119.7602583'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5839805, -119.7705069'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.60497489999999, -119.7560809'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6089579, -119.7608877'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6214102, -119.760162'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6214163, -119.7605024'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6408682, -119.7623381'], ['nature and woods', 2.9272465e-05], ['non-scenic', 8.4670464e-06], ['non-scenic', 4.0951345e-06]]
[['46.6415924, -119.7587858'], ['nature and woods', 1.0916707e-05], ['non-scenic', 2.3457133e-06], ['non-scenic', 2.2196741e-06]]
[['46.65729820000001, -119.7690983'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6646008, -119.7602973'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6717829, -119.7602891'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6790129, -119.7603025'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6934461, -119.7602465'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6934467, -119.7603576'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7082158, -119.7682612'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7151276, -119.7603178'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7223259, -119.7677685'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7365544, -119.7602645'], ['fields', 1.3019243e-05], ['non-scenic', 9.8043402e-06], ['non-scenic', 7.8024877e-06]]
[['46.7455902, -119.7626427'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7510371, -119.7556044'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
