[['47.7729362, -120.96694'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.7746416, -120.9592014'], ['nature and woods', 2.3409307e-06], ['nature and woods', 9.6950453e-07], ['nature and woods', 8.9474656e-07]]
[['47.7759326, -120.9528198'], ['water', 3.471721e-05], ['nature and woods', 1.0787541e-06], ['nature and woods', 2.8218386e-07]]
[['47.7777186, -120.9531029'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.7810871, -120.9419979'], ['nature and woods', 5.6212521e-06], ['nature and woods', 2.4859492e-06], ['nature and woods', 1.0617612e-06]]
[['47.7816946, -120.9407579'], ['nature and woods', 1.7742957e-06], ['nature and woods', 5.3773988e-07], ['nature and woods', 3.7611028e-07]]
[['47.7818104, -120.940341'], ['nature and woods', 1.0261951e-05], ['nature and woods', 7.0338883e-06], ['nature and woods', 2.1203925e-07]]
[['47.8347317, -120.945307'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8356177, -120.9494349'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8405565, -120.952778'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8526555, -120.9515248'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.85670959999999, -120.9539983'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8644852, -120.9641933'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8681543, -120.9673192'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8693484, -120.9697657'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.871809, -120.9759211'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.9365444, -120.9218901'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.9368456, -120.9222953'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
