[['46.85267959999999, -117.3896806'], ['non-scenic', 4.3647178e-05], ['non-scenic', 2.2911589e-05], ['fields', 1.2797422e-05]]
[['46.86111870000001, -117.3890432'], ['fields', 1.4051294e-05], ['non-scenic', 1.1508994e-05], ['non-scenic', 4.9348046e-06]]
[['46.86424239999999, -117.3816934'], ['fields', 4.9874598e-05], ['non-scenic', 5.5416863e-06], ['fields', 4.1848916e-06]]
[['46.8808167, -117.3942738'], ['fields', 8.3794494e-06], ['non-scenic', 4.3107348e-06], ['non-scenic', 3.0842812e-06]]
[['46.8867503, -117.3877983'], ['non-scenic', 0.001076357], ['non-scenic', 1.5773372e-05], ['non-scenic', 4.016862e-06]]
[['46.8909515, -117.3843411'], ['non-scenic', 0.0010951608], ['non-scenic', 0.00012133478], ['non-scenic', 0.00010098294]]
[['46.9085461, -117.3854739'], ['nature and woods', 0.00015820059], ['fields', 8.8969813e-05], ['fields', 4.883952e-06]]
[['46.9118621, -117.3894177'], ['non-scenic', 0.0018232928], ['non-scenic', 2.7731907e-05], ['fields', 8.8436609e-06]]
[['46.9290105, -117.382689'], ['non-scenic', 1.4545186e-05], ['nature and woods', 1.3845509e-05], ['nature and woods', 6.1338865e-06]]
[['46.9313179, -117.3886032'], ['nature and woods', 3.9914789e-06], ['nature and woods', 1.9594704e-06], ['nature and woods', 4.4385115e-07]]
[['46.94132940000001, -117.3986098'], ['nature and woods', 1.2805013e-05], ['nature and woods', 9.1856346e-06], ['nature and woods', 2.6842329e-06]]
[['46.9477544, -117.4018049'], ['nature and woods', 1.0239904e-05], ['non-scenic', 9.2854198e-06], ['nature and woods', 9.2600123e-07]]
[['46.9552732, -117.4070243'], ['fields', 0.00081755884], ['non-scenic', 1.2287011e-05], ['non-scenic', 2.6921189e-06]]
[['46.9819825, -117.383713'], ['non-scenic', 7.8756151e-05], ['fields', 4.5891538e-05], ['fields', 1.0240604e-05]]
[['46.9822795, -117.3844532'], ['non-scenic', 7.4599673e-05], ['non-scenic', 4.7558988e-05], ['fields', 5.7427446e-06]]
[['46.9871309, -117.3853674'], ['nature and woods', 0.00012701056], ['nature and woods', 8.1690596e-05], ['fields', 7.134116e-06]]
[['46.9952688, -117.3934587'], ['fields', 6.1583785e-05], ['fields', 4.6922672e-05], ['mountain', 5.9585777e-06]]
[['47.0052422, -117.3890145'], ['nature and woods', 2.3280138e-05], ['non-scenic', 4.3585524e-06], ['non-scenic', 2.0770901e-06]]
[['47.0098699, -117.3991951'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0259222, -117.3861855'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0291541, -117.3918913'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0409765, -117.3888685'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0508282, -117.3802135'], ['fields', 4.9271424e-05], ['fields', 5.3395906e-06], ['non-scenic', 2.8630434e-06]]
[['47.0580576, -117.3882221'], ['fields', 5.2948813e-05], ['nature and woods', 2.2232398e-05], ['non-scenic', 1.4490246e-05]]
[['47.0649255, -117.3893283'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.08017, -117.3852706'], ['sightseeing', 0.067539372], ['nature and woods', 3.9770162e-05], ['fields', 5.3365234e-06]]
[['47.085431, -117.3904826'], ['fields', 1.1708484e-05], ['fields', 8.0812379e-06], ['fields', 5.7362849e-06]]
