[['46.4915539, -117.2794731'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.4915737, -117.2800324'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.51196239999999, -117.279359'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.51196239999999, -117.2793868'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5281951, -117.2844926'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5283123, -117.2847466'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5548851, -117.2644801'], ['sightseeing', 2.8474022e-05], ['non-scenic', 7.9570482e-06], ['non-scenic', 7.454174e-06]]
[['46.56053439999999, -117.2720905'], ['sightseeing', 9.7500219e-05], ['non-scenic', 4.4592813e-05], ['non-scenic', 1.0545683e-05]]
[['46.5646448, -117.2783131'], ['mountain', 0.00013153457], ['non-scenic', 1.5308047e-05], ['non-scenic', 1.0161695e-05]]
[['46.5746201, -117.278264'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.579361, -117.282476'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.57947799999999, -117.2829081'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6032126, -117.282762'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.609424, -117.2801231'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6169759, -117.2763439'], ['fields', 9.2942664e-06], ['non-scenic', 4.6241621e-06], ['non-scenic', 2.7063281e-06]]
[['46.6243265, -117.2794024'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6396768, -117.281935'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
