[['46.74230120000001, -120.5205263'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7504377, -120.526112'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7702789, -120.5101325'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7716509, -120.5136419'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.77557729999999, -120.5190053'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7839913, -120.5243378'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8017712, -120.5111422'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8032479, -120.51401'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.830959, -120.5080815'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8350778, -120.5133095'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.837833, -120.5167467'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8388824, -120.5203217'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8749654, -120.4933808'], ['nature and woods', 9.4897216e-05], ['non-scenic', 4.380523e-05], ['non-scenic', 8.9376517e-06]]
[['46.87660349999999, -120.4951659'], ['sightseeing', 5.5612469e-05], ['non-scenic', 2.9239856e-05], ['non-scenic', 1.0874815e-05]]
[['46.8772586, -120.4952866'], ['non-scenic', 9.7659031e-05], ['non-scenic', 4.7038258e-05], ['non-scenic', 9.5644127e-06]]
[['46.8958811, -120.5027266'], ['non-scenic', 3.9797564e-05], ['non-scenic', 1.7990742e-05], ['non-scenic', 1.7450535e-05]]
[['46.8977713, -120.5042019'], ['non-scenic', 6.4041385e-05], ['non-scenic', 2.9349669e-05], ['non-scenic', 2.2133656e-06]]
[['46.9071824, -120.5054245'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.91561799999999, -120.5079422'], ['non-scenic', 5.4553126e-05], ['non-scenic', 3.0209891e-05], ['non-scenic', 7.4196209e-06]]
[['46.9245564, -120.50971'], ['non-scenic', 6.8307665e-05], ['non-scenic', 6.214864e-05], ['nature and woods', 4.7255462e-06]]
[['46.93338, -120.5130994'], ['non-scenic', 0.00010296371], ['non-scenic', 1.5303309e-05], ['non-scenic', 1.3549497e-05]]
[['46.94216369999999, -120.5140822'], ['fields', 6.5478831e-05], ['nature and woods', 5.3257394e-05], ['non-scenic', 1.6601727e-05]]
[['46.950876, -120.5181085'], ['nature and woods', 0.00028862469], ['non-scenic', 0.00013343495], ['fields', 2.9862405e-05]]
[['46.9588516, -120.5140909'], ['non-scenic', 0.00013737372], ['fields', 6.2648222e-05], ['non-scenic', 2.5017531e-05]]
[['46.9698581, -120.5139076'], ['non-scenic', 0.00048761017], ['non-scenic', 2.4104724e-05], ['non-scenic', 7.9398242e-06]]
[['46.9731047, -120.5148049'], ['water', 3.7562677e-05], ['non-scenic', 2.8538545e-05], ['non-scenic', 1.5431142e-05]]
[['46.9870803, -120.5156962'], ['non-scenic', 0.00049299706], ['non-scenic', 0.00028380333], ['non-scenic', 0.00016979295]]
[['46.9956736, -120.5138742'], ['non-scenic', 0.00044638183], ['fields', 6.9906666e-05], ['non-scenic', 1.261844e-05]]
[['47.0058664, -120.5148926'], ['non-scenic', 0.0046917205], ['non-scenic', 0.00010067874], ['non-scenic', 3.7678124e-05]]
[['47.0141905, -120.5141629'], ['nature and woods', 0.00033819402], ['non-scenic', 0.00011744814], ['water', 1.4813232e-05]]
[['47.0228863, -120.5141577'], ['non-scenic', 0.00020341411], ['non-scenic', 7.8103985e-05], ['non-scenic', 1.7091374e-05]]
[['47.032034, -120.5161108'], ['nature and woods', 1.9829984e-05], ['non-scenic', 1.6644524e-05], ['non-scenic', 4.5125971e-06]]
[['47.0412747, -120.5153033'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.05007500000001, -120.5182984'], ['nature and woods', 2.9663566e-05], ['non-scenic', 9.2182363e-06], ['non-scenic', 4.5830648e-06]]
[['47.056625, -120.5126323'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0660692, -120.5138826'], ['water', 3.1235948e-05], ['non-scenic', 2.4305262e-05], ['fields', 1.4483463e-05]]
[['47.0699863, -120.5246023'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0858812, -120.497321'], ['non-scenic', 2.579122e-05], ['water', 1.8854973e-05], ['non-scenic', 1.8449242e-05]]
[['47.0952624, -120.4974499'], ['non-scenic', 0.00095810334], ['non-scenic', 8.4072344e-05], ['non-scenic', 1.3629781e-05]]
[['47.10389809999999, -120.4974502'], ['non-scenic', 4.6494228e-05], ['fields', 1.7575363e-05], ['non-scenic', 1.2233654e-05]]
[['47.1150773, -120.5048846'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.13439229999999, -120.5041905'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1405521, -120.5134637'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1498256, -120.5127389'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1587462, -120.5111094'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1670185, -120.5153156'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1764854, -120.5168595'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1783769, -120.5169777'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.201577, -120.4992848'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.207304, -120.5108613'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.2106175, -120.5152809'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.2207847, -120.5162302'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.23100789999999, -120.5132006'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.2390559, -120.5155473'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.2471816, -120.5170937'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.2563696, -120.5153027'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.26304, -120.520313'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.27564109999999, -120.5177638'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.2843009, -120.5186555'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.2938432, -120.5153379'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3042741, -120.5137082'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3116791, -120.5189683'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3190328, -120.5207707'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3205222, -120.5223896'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.322734, -120.5267002'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3227672, -120.5267963'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.355436, -120.554408'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3812022, -120.4897627'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3829663, -120.4919792'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.38854329999999, -120.4965303'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3954072, -120.5003029'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4047127, -120.5064438'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4106216, -120.509733'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4187272, -120.5098034'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4303779, -120.5124122'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.433131, -120.5166553'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4400059, -120.5243733'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4498966, -120.4960769'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4638678, -120.4930411'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4829146, -120.5200316'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.48421829999999, -120.5149442'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4848337, -120.5120415'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5011553, -120.5172689'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5097133, -120.5141581'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5180798, -120.514376'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5271015, -120.5141598'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5357639, -120.5142219'], ['mountain', 6.717514e-05], ['non-scenic', 2.1904254e-05], ['non-scenic', 1.2962729e-05]]
[['47.539679, -120.5120419'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.556477, -120.5227515'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.56417649999999, -120.5196517'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5710203, -120.5124478'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5767596, -120.507899'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5910243, -120.5117846'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5993201, -120.5140455'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6114428, -120.5153464'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6161412, -120.5111041'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6202791, -120.5064823'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.641385, -120.507551'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6440806, -120.5137068'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.652277, -120.5151054'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.656877, -120.5117714'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6744503, -120.5139601'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6827136, -120.519021'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
