[['47.2573633, -119.9801774'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.2660403, -119.9832016'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.27172729999999, -119.9689913'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.28539010000001, -119.9668141'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.29489900000001, -119.9706705'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.30880800000001, -119.9718628'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3126927, -119.9764268'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3200064, -119.98315'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3297241, -119.9798242'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.33443150000001, -119.9755808'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.35009729999999, -119.9832461'], ['non-scenic', 1.5431486e-05], ['mountain', 1.3923741e-05], ['non-scenic', 7.8751318e-06]]
[['47.35346, -119.9768171'], ['non-scenic', 0.00010008337], ['non-scenic', 1.9417706e-05], ['fields', 4.6160008e-06]]
[['47.3595952, -119.9688278'], ['nature and woods', 1.6831196e-05], ['non-scenic', 1.2953923e-05], ['non-scenic', 1.4142684e-06]]
[['47.3653674, -119.96242'], ['non-scenic', 6.6927332e-06], ['nature and woods', 6.644394e-06], ['non-scenic', 2.9542632e-06]]
[['47.3698048, -119.9574395'], ['non-scenic', 3.1929125e-05], ['non-scenic', 2.5992931e-05], ['nature and woods', 8.6303517e-06]]
[['47.3730023, -119.9525943'], ['non-scenic', 3.1189829e-05], ['fields', 1.0974099e-05], ['non-scenic', 7.6752867e-06]]
