[['48.6521269, -117.9329583'], ['mountain', 3.1735675e-05], ['nature and woods', 2.9545303e-05], ['nature and woods', 2.1660055e-05]]
[['48.18288099999999, -117.9101448'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1954435, -117.9107532'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.2016397, -117.9083496'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.210601, -117.9102608'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.2266597, -117.9136843'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.22859529999999, -117.9098652'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.2285972, -117.9096699'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.25879459999999, -117.8893382'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.2659339, -117.9108792'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.2768843, -117.9077026'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.2815856, -117.9115557'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.29704599999999, -117.9106415'], ['nature and woods', 5.0872204e-05], ['nature and woods', 8.25163e-07], ['nature and woods', 4.7863819e-07]]
[['48.3005761, -117.9130617'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.310865, -117.9100885'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.3223804, -117.8980741'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.3378622, -117.8910064'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.3642584, -117.9097061'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.3744449, -117.902007'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.3866085, -117.9045692'], ['fields', 4.6751647e-05], ['non-scenic', 1.202607e-05], ['non-scenic', 1.0152749e-05]]
[['48.3907465, -117.9108402'], ['mountain', 9.1532049e-05], ['non-scenic', 1.2619673e-05], ['nature and woods', 1.8745898e-06]]
[['48.4003654, -117.9086586'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.4200352, -117.9020684'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.4278072, -117.9054852'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.4361694, -117.9059229'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.44358709999999, -117.9124183'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.45178749999999, -117.9106407'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.4643465, -117.9132762'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.47178110000001, -117.9125984'], ['nature and woods', 1.4947935e-05], ['nature and woods', 3.8267308e-06], ['nature and woods', 1.1052065e-07]]
[['48.4823065, -117.9175063'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.4908537, -117.9094144'], ['non-scenic', 0.00020748595], ['non-scenic', 0.00016082707], ['non-scenic', 5.8048379e-05]]
[['48.4990971, -117.9022183'], ['non-scenic', 1.4330886e-05], ['non-scenic', 1.0256703e-05], ['non-scenic', 4.2086126e-06]]
[['48.507497, -117.901948'], ['non-scenic', 0.0011520621], ['non-scenic', 4.5098499e-05], ['non-scenic', 2.3335795e-05]]
[['48.5195069, -117.90943'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.52514619999999, -117.9136091'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5352646, -117.9091101'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5438674, -117.909871'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5530834, -117.9107213'], ['non-scenic', 0.0015252189], ['non-scenic', 9.80607e-05], ['non-scenic', 7.5771932e-05]]
[['48.5620925, -117.9098346'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5697795, -117.9142412'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5794752, -117.9176744'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5914015, -117.9087612'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5972376, -117.9118763'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.60684500000001, -117.9120681'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6252903, -117.909635'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6343372, -117.9098853'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.64151709999999, -117.8991474'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6532801, -117.9077833'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6616493, -117.9075956'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6733023, -117.9133517'], ['nature and woods', 1.4163648e-05], ['nature and woods', 7.023817e-06], ['nature and woods', 2.091633e-06]]
[['48.67888689999999, -117.9095334'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6894014, -117.9080618'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.694496, -117.9141052'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7074478, -117.9068311'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.715075, -117.9098901'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7236489, -117.9071226'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7262186, -117.917734'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7440891, -117.9131147'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7476431, -117.9078333'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7566965, -117.8981829'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7719756, -117.8948597'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7776782, -117.8959666'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7941496, -117.912032'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7960637, -117.9098506'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8025393, -117.9109579'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8199759, -117.919519'], ['nature and woods', 1.6518919e-05], ['nature and woods', 8.2814986e-06], ['nature and woods', 5.0078875e-06]]
[['48.82397659999999, -117.9137475'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.83125829999999, -117.9101294'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8410849, -117.9099763'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8497109, -117.9060916'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8597141, -117.9090268'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8685367, -117.9114313'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.87705920000001, -117.9060604'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.88540829999999, -117.9100335'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.893011, -117.904335'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.9106465, -117.9143037'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.9139032, -117.9113965'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.9231925, -117.9141205'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.9297891, -117.915243'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.9398843, -117.9205996'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.9483809, -117.9090272'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.212895, -117.8957014'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.2218183, -117.8937641'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.2305129, -117.892817'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.2401121, -117.8954257'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.248333, -117.899849'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.25912109999999, -117.8992719'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.266285, -117.894055'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.2765482, -117.8936567'], ['nature and woods', 4.7061203e-05], ['non-scenic', 1.3430101e-05], ['non-scenic', 4.2084775e-06]]
[['46.2822914, -117.8985658'], ['mountain', 2.5672549e-05], ['non-scenic', 2.531123e-05], ['non-scenic', 2.3662149e-05]]
[['46.3024674, -117.8903403'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3045576, -117.8956417'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.31629299999999, -117.8954941'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3210685, -117.8967721'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3301717, -117.8962898'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3383393, -117.8963671'], ['non-scenic', 5.198488e-05], ['nature and woods', 4.9887662e-05], ['non-scenic', 1.8229732e-05]]
[['46.3511647, -117.8937437'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3572103, -117.8952119'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3670661, -117.8972594'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.37283000000001, -117.891494'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3930666, -117.8985898'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.39345429999999, -117.8961782'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.4021384, -117.9074771'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.4111926, -117.9073014'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.4154953, -117.9072442'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.4320977, -117.9009775'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.434273, -117.8963163'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.4357717, -117.8896184'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.462761, -117.9032196'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.4658823, -117.8963177'], ['mountain', 0.00016875436], ['non-scenic', 4.6079524e-05], ['non-scenic', 8.1394328e-06]]
[['46.4661547, -117.8946071'], ['mountain', 0.00013550895], ['non-scenic', 2.8514691e-05], ['nature and woods', 1.1612151e-05]]
[['46.4833108, -117.8961784'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.4844163, -117.8991236'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5319243, -117.912106'], ['non-scenic', 2.1476808e-05], ['non-scenic', 1.607575e-05], ['fields', 8.0347436e-06]]
[['46.5326494, -117.9103502'], ['fields', 4.1875108e-05], ['non-scenic', 2.2895327e-05], ['non-scenic', 1.3556581e-05]]
[['46.5350674, -117.9067571'], ['fields', 2.5410875e-05], ['non-scenic', 4.6841856e-06], ['non-scenic', 1.8570397e-06]]
[['46.539745, -117.9002241'], ['fields', 8.4760417e-05], ['non-scenic', 9.6496542e-06], ['non-scenic', 3.1058307e-06]]
[['46.5468804, -117.8946114'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.55466240000001, -117.8995918'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5626802, -117.898985'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5778484, -117.8961081'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.57807, -117.8969614'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5931945, -117.8963644'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5998424, -117.8964257'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.60917209999999, -117.8961106'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6170525, -117.8936749'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.62729, -117.8944461'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6362464, -117.8956895'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6451731, -117.8971771'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6475084, -117.8999041'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6618161, -117.9034679'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6793939, -117.898003'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.68077940000001, -117.8960412'], ['non-scenic', 3.2352429e-05], ['fields', 2.7283975e-05], ['non-scenic', 2.6328866e-05]]
[['46.6894447, -117.8954063'], ['fields', 5.312471e-05], ['non-scenic', 1.6612224e-05], ['non-scenic', 1.3192842e-05]]
[['46.6971302, -117.9040996'], ['fields', 4.8511036e-05], ['fields', 1.304364e-05], ['nature and woods', 1.105209e-05]]
[['46.7105414, -117.897259'], ['nature and woods', 0.0006964166], ['nature and woods', 0.00017479539], ['nature and woods', 5.2429339e-05]]
[['46.7171061, -117.8928727'], ['non-scenic', 8.1018021e-05], ['fields', 2.7963066e-05], ['fields', 6.3449511e-06]]
[['46.7224081, -117.8908267'], ['fields', 3.5702597e-05], ['fields', 2.0948257e-05], ['fields', 1.0114207e-05]]
[['46.734606, -117.8924374'], ['fields', 1.1459309e-05], ['nature and woods', 8.4363546e-06], ['non-scenic', 7.3689243e-06]]
[['46.74151639999999, -117.8875023'], ['fields', 3.766251e-05], ['fields', 1.7489798e-05], ['fields', 1.361799e-05]]
[['46.7543387, -117.8898339'], ['fields', 0.0001221993], ['fields', 0.00011702867], ['fields', 9.8226315e-05]]
[['46.76085699999999, -117.8889336'], ['fields', 6.7911984e-05], ['fields', 1.0715697e-05], ['fields', 7.0474366e-06]]
[['46.7723709, -117.8892543'], ['nature and woods', 2.6760774e-05], ['non-scenic', 1.9506038e-05], ['non-scenic', 1.4841028e-05]]
[['46.7802202, -117.8959141'], ['nature and woods', 2.9504346e-05], ['fields', 2.0700776e-05], ['fields', 8.0063191e-06]]
[['46.7901695, -117.8969106'], ['fields', 6.813612e-05], ['non-scenic', 4.9848284e-05], ['non-scenic', 6.3372927e-06]]
[['46.7975185, -117.894388'], ['non-scenic', 1.1187532e-05], ['non-scenic', 8.8417692e-06], ['non-scenic', 1.692476e-06]]
[['46.8075531, -117.8967027'], ['fields', 3.2049553e-05], ['fields', 2.6931453e-05], ['non-scenic', 3.2168207e-06]]
[['46.8188458, -117.8885899'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.824892, -117.8879919'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8393536, -117.8964245'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8393621, -117.8960484'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8518343, -117.886585'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8617073, -117.8961722'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8700738, -117.895983'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8790552, -117.8954208'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8882442, -117.8950102'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8968987, -117.8975299'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8994927, -117.8951548'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9174419, -117.9176224'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9371459, -117.8997401'], ['nature and woods', 4.6147492e-05], ['non-scenic', 1.0805067e-05], ['non-scenic', 3.7589978e-06]]
[['46.9374492, -117.8973373'], ['fields', 0.00029694356], ['non-scenic', 1.0045465e-05], ['non-scenic', 4.9980704e-06]]
[['46.9415542, -117.8922609'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9497629, -117.8892841'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9584733, -117.8927577'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9665529, -117.8826379'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9781229, -117.8776309'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9843822, -117.8764367'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9975797, -117.8805152'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0163685, -117.8946973'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.023059, -117.8963898'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.03260849999999, -117.8965598'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0335858, -117.8931017'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0340746, -117.8905338'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0899686, -117.898342'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0901137, -117.8975347'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.0905011, -117.8966011'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.10602790000001, -117.8962861'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1113838, -117.8913544'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.12006350000001, -117.8852999'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1320358, -117.8827622'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1405889, -117.8817463'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.144332, -117.8800031'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1647592, -117.8852607'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1693746, -117.8968052'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.17771579999999, -117.8993107'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1839238, -117.8944389'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.1930207, -117.8976473'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.2035935, -117.900122'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.2113813, -117.8948076'], ['non-scenic', 2.9524052e-05], ['fields', 2.6825857e-05], ['non-scenic', 1.0859249e-05]]
[['47.2192955, -117.9001552'], ['non-scenic', 2.9585939e-05], ['non-scenic', 1.9594385e-05], ['non-scenic', 1.870011e-05]]
[['47.2255548, -117.9062452'], ['non-scenic', 9.7782744e-05], ['non-scenic', 4.2699059e-05], ['non-scenic', 9.5079413e-06]]
[['47.231853, -117.9123592'], ['fields', 6.6382323e-05], ['nature and woods', 2.5447491e-05], ['non-scenic', 1.7598521e-05]]
[['47.2446706, -117.9184263'], ['non-scenic', 3.1931031e-05], ['non-scenic', 1.398004e-05], ['non-scenic', 5.1796528e-06]]
[['47.2645343, -117.8871397'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.270018, -117.8907742'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.2729193, -117.8971115'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.2819347, -117.8960034'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.290403, -117.8974131'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.2939668, -117.9058376'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3149394, -117.9060832'], ['fields', 0.00013787311], ['non-scenic', 0.00010829532], ['non-scenic', 3.3526998e-05]]
[['47.3221307, -117.8971375'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.32693829999999, -117.8929925'], ['fields', 0.00012834962], ['non-scenic', 3.3703422e-05], ['non-scenic', 1.8729417e-05]]
[['47.3374215, -117.8956655'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3487792, -117.9000578'], ['fields', 1.0888178e-05], ['non-scenic', 1.0830408e-05], ['non-scenic', 3.581265e-06]]
[['47.3552756, -117.8943178'], ['mountain', 5.6714234e-05], ['non-scenic', 6.9131452e-06], ['non-scenic', 4.167151e-06]]
[['47.3616011, -117.8882724'], ['non-scenic', 5.5107535e-05], ['mountain', 3.8534658e-05], ['non-scenic', 1.2127142e-05]]
[['47.3678733, -117.8822423'], ['fields', 6.9693415e-05], ['non-scenic', 1.2380706e-05], ['non-scenic', 1.1005648e-05]]
[['47.385563, -117.912412'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.39863949999999, -117.9053791'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4016378, -117.8963429'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
